identificador,país,mulher_casa_filhos,casa_realização,trab_homem_mulher,homem_domésticas,homem_cuidado,lavar_roupa,pequenos_reparos,doença_parentes,compras,limpeza,comida,horas_trab_dom,divisão_tar_dom,conflito_tar_dom,decisões_crianças,sobrecarga_tar_dom,stress_casa,cansaço_tar_dom,cansaço_dom_trab,concentração_trab,familia_satisfação,filhos_maiores,crianças_pequenas,idade,sexo,status_marital,anos_escolaridade,emprego_status,horas_trab,rendimento,renda_familiar,identidade_etnica
35000447,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Agree,Strongly agree,NA,NA,NA,Neither satisfied nor dissatisfied,1 child,NA,46,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,NA,"Europe,White/European"
35000449,Brazil (BR),Strongly agree,Strongly agree,Agree,Agree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,"Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do roughly my fair share,Never,We decide together,NA,Strongly agree,Several times a week,Never,Once or twice a year,Very satisfied,2 children,1 child,58,Male,"Marr,liv as mar",1,Employed-full time,45,NA,NA,"Other,mixed origin,one-non-swedish"
35000450,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,"Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do roughly my fair share,Never,We decide together,NA,Strongly agree,NA,Never,Once or twice a year,Very satisfied,NA,3 children,25,Male,"Marr,liv as mar",4,Employed-full time,NA,300,300,"Other,mixed origin,one-non-swedish"
35000452,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",NA,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Strongly agree,Neither agree nor disagree,NA,NA,NA,Neither satisfied nor dissatisfied,1 child,NA,34,Female,"Marr,liv as mar",5,"Housewife,home duties",NA,15,NA,"Other,mixed origin,one-non-swedish"
35000453,Brazil (BR),Agree,Strongly agree,Agree,Strongly disagree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do roughly my fair share,Never,We decide together,NA,Agree,NA,Never,Once or twice a year,Fairly satisfied,NA,2 children,31,Male,"Marr,liv as mar",97,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000454,Brazil (BR),Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do roughly my fair share,Never,We decide together,NA,Strongly agree,NA,Never,Once or twice a year,Very satisfied,NA,3 children,42,Male,"Marr,liv as mar",2,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000455,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Disagree,Agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",NA,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,I do roughly my fair share,Never,NA,Strongly disagree,Strongly agree,Several times a month,Never,Once or twice a year,Very satisfied,NA,1 child,22,Male,"Marr,liv as mar",11,Employed-full time,NA,NA,NA,"Europe,White/European"
35000462,Brazil (BR),Agree,Agree,Disagree,Agree,Agree,"Usually me,PL:the woman","Always my spouse,partner,PL:the man",NA,About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Strongly disagree,Neither agree nor disagree,NA,NA,NA,Very satisfied,2 children,1 child,40,Female,"Marr,liv as mar",3,"Housewife,home duties",NA,70,NA,"Black/African/Carribean,No-Spanish"
35000468,Brazil (BR),Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do much more than my fair share,Several times a month,Mostly me,Strongly agree,Strongly disagree,Several times a month,Several times a month,Several times a month,Neither satisfied nor dissatisfied,2 children,NA,37,Female,"Marr,liv as mar",97,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000470,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman",Done by a third person,NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",NA,I do much more than my fair share,"Less often, rarely",We decide together,Disagree,Strongly disagree,NA,NA,NA,Very satisfied,NA,NA,58,Female,"Marr,liv as mar",3,Retired,NA,240,480,"Europe,White/European"
35000471,Brazil (BR),Strongly agree,Agree,Disagree,Strongly agree,Disagree,"Always me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Strongly agree,Neither agree nor disagree,NA,NA,NA,Neither satisfied nor dissatisfied,NA,NA,58,Female,"Marr,liv as mar",97,NA,NA,NA,420,"Europe,White/European"
35000472,Brazil (BR),Strongly agree,Agree,Disagree,NA,Strongly agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",NA,Done by a third person,Done by a third person,Done by a third person,96,NA,Never,We decide together,NA,Neither agree nor disagree,Several times a week,Never,Several times a month,Very satisfied,2 children,2 children,62,Male,"Marr,liv as mar",97,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000477,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Done by a third person,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",Done by a third person,Done by a third person,96,I do roughly my fair share,Never,We decide together,NA,Strongly agree,NA,NA,NA,Very satisfied,1 child,NA,74,Male,"Marr,liv as mar",97,Retired,NA,240,480,"Other,mixed origin,one-non-swedish"
35000480,Brazil (BR),Strongly agree,Agree,Agree,Strongly agree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly disagree,Several times a month,Several times a month,Several times a month,Neither satisfied nor dissatisfied,3 children,NA,48,Female,"Marr,liv as mar",1,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000481,Brazil (BR),Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Done by a third person,Done by a third person,NA,"Usually me,PL:the woman",Done by a third person,"Usually me,PL:the woman",NA,I do roughly my fair share,NA,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,2 children,1 child,60,Female,"Marr,liv as mar",97,Retired,NA,240,NA,"Black/African/Carribean,No-Spanish"
35000484,Brazil (BR),Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Agree,NA,NA,NA,Fairly satisfied,2 children,1 child,32,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,30,NA,"Black/African/Carribean,No-Spanish"
35000485,Brazil (BR),Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,"Usually my spouse,partner,PL:the man",About equal o both together,NA,"Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do a bit less than my fair share,"Less often, rarely",We decide together,NA,Neither agree nor disagree,Never,Never,Once or twice a year,Very satisfied,1 child,NA,32,Male,"Marr,liv as mar",2,Employed-full time,NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000487,Brazil (BR),Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,About equal o both together,"Always me,PL:the woman",NA,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,12,I do a bit less than my fair share,Never,We decide together,Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,NA,NA,40,Male,"Marr,liv as mar",4,"Oth,not i labour force",NA,NA,NA,"Europe,White/European"
35000493,Brazil (BR),Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",NA,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Disagree,NA,NA,NA,Fairly satisfied,2 children,NA,41,Female,"Marr,liv as mar",2,"Housewife,home duties",NA,NA,200,"Europe,White/European"
35000499,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man",20,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Disagree,Never,Several times a week,Never,Very satisfied,2 children,NA,51,Female,"Marr,liv as mar",1,Employed-full time,50,240,480,"Other,mixed origin,one-non-swedish"
35000500,Brazil (BR),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,I do a bit less than my fair share,"Less often, rarely",We decide together,Agree,Strongly agree,Several times a month,Never,Never,Very satisfied,3 children,NA,67,Male,"Marr,liv as mar",1,Retired,NA,350,350,"Black/African/Carribean,No-Spanish"
35000501,Brazil (BR),Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",50,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Agree,Agree,Never,Never,Never,Very satisfied,4 children,NA,48,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,480,"Europe,White/European"
35000503,Brazil (BR),Strongly agree,Neither agree nor disagree,Strongly disagree,NA,Strongly agree,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,Never,Never,Never,Very satisfied,NA,NA,32,Female,"Marr,liv as mar",15,Employed-full time,40,400,2000,"Europe,White/European"
35000504,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,I do roughly my fair share,Never,NA,Strongly disagree,Agree,Never,Never,Never,Very satisfied,NA,NA,35,Male,"Marr,liv as mar",8,Employed-full time,48,400,400,"Europe,White/European"
35000505,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,NA,Very satisfied,NA,NA,18,Female,"Marr,liv as mar",11,"Studt,school,vocat.trng",NA,NA,1000,"Europe,White/European"
35000510,Brazil (BR),NA,NA,Disagree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",30,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Once or twice a year,Never,Never,Fairly satisfied,1 child,NA,54,Male,"Marr,liv as mar",1,Employed-full time,90,600,1500,"Europe,White/European"
35000512,Brazil (BR),Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",28,I do roughly my fair share,Several times a month,We decide together,Strongly agree,Strongly disagree,Once or twice a year,Once or twice a year,Once or twice a year,Very satisfied,NA,1 child,38,Female,"Marr,liv as mar",5,Employed-full time,30,240,240,"Asia,other Asian"
35000515,Brazil (BR),Strongly agree,NA,Strongly disagree,Disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",15,I do roughly my fair share,"Less often, rarely",NA,Strongly agree,Strongly agree,Several times a week,Several times a month,Once or twice a year,Very satisfied,NA,NA,36,Male,"Marr,liv as mar",15,Employed-full time,44,1000,1800,"Europe,White/European"
35000519,Brazil (BR),Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",5,I do a bit less than my fair share,Never,We decide together,NA,NA,NA,NA,NA,Fairly satisfied,NA,NA,58,Male,"Marr,liv as mar",1,Retired,NA,620,NA,"Europe,White/European"
35000520,Brazil (BR),Disagree,Disagree,Disagree,Disagree,Disagree,Done by a third person,"Usually me,PL:the woman","Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",4,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a month,Never,Never,Fairly satisfied,NA,1 child,38,Male,"Marr,liv as mar",6,Employed-full time,54,1400,1800,"Black/African/Carribean,No-Spanish"
35000521,Brazil (BR),NA,NA,Strongly disagree,Strongly agree,NA,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,About equal o both together,5,I do roughly my fair share,"Less often, rarely",NA,Agree,Strongly agree,Once or twice a year,Never,Several times a month,Fairly satisfied,NA,NA,27,Male,"Marr,liv as mar",15,Employed-part time,30,2000,3000,"Europe,White/European"
35000527,Brazil (BR),Disagree,Agree,Agree,Disagree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",21,I do roughly my fair share,"Less often, rarely",Mostly me,NA,NA,NA,NA,NA,Fairly satisfied,1 child,NA,44,Female,"Marr,liv as mar",9,"Housewife,home duties",NA,NA,500,"Other,mixed origin,one-non-swedish"
35000529,Brazil (BR),Agree,Agree,Agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",42,I do much more than my fair share,Several times a week,Mostly me,NA,NA,NA,NA,NA,Fairly satisfied,2 children,NA,37,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,1000,"Europe,White/European"
35000530,Brazil (BR),Agree,Agree,Strongly agree,Agree,Agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",8,I do a bit less than my fair share,"Less often, rarely",Mostly me,NA,NA,NA,NA,NA,Neither satisfied nor dissatisfied,NA,NA,65,Male,"Marr,liv as mar",1,Retired,NA,240,240,"Europe,White/European"
35000533,Brazil (BR),Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Done by a third person,NA,"Always me,PL:the woman","Always me,PL:the woman",Done by a third person,"Usually me,PL:the woman",NA,I do roughly my fair share,Never,Mostly me,Strongly agree,NA,NA,NA,NA,Very satisfied,NA,NA,62,Female,"Marr,liv as mar",4,Retired,NA,330,570,"Other,mixed origin,one-non-swedish"
35000536,Brazil (BR),Disagree,Neither agree nor disagree,Disagree,NA,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,About equal o both together,Done by a third person,Done by a third person,96,I do much less than my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,2 children,NA,41,Male,"Marr,liv as mar",11,Permanently disabled,NA,240,480,"Other,mixed origin,one-non-swedish"
35000539,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",NA,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a week,Several times a month,Never,Fairly satisfied,NA,NA,54,Female,"Marr,liv as mar",2,"Housewife,home duties",NA,NA,8000,"Other,mixed origin,one-non-swedish"
35000540,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,NA,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man",NA,96,I do much less than my fair share,Never,We decide together,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Never,Fairly satisfied,NA,NA,64,Male,"Marr,liv as mar",97,Retired,NA,240,480,"Europe,White/European"
35000543,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",25,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,1 child,23,Female,"Marr,liv as mar",11,"Housewife,home duties",NA,NA,300,"Europe,White/European"
35000545,Brazil (BR),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,35,I do much more than my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a week,Several times a week,Several times a week,Fairly satisfied,1 child,NA,25,Female,"Marr,liv as mar",11,Retired,NA,NA,0,"American Indian,Navajo,Ind.Dialect"
35000546,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,NA,NA,NA,Very satisfied,3 children,NA,19,Female,"Marr,liv as mar",11,Unemployed,NA,NA,NA,"Europe,White/European"
35000550,Brazil (BR),Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,"Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",10,I do much less than my fair share,Several times a year,We decide together,Strongly disagree,Strongly disagree,Several times a week,Never,Never,Very satisfied,NA,1 child,21,Male,"Marr,liv as mar",11,Employed-part time,9,48000,NA,"Europe,White/European"
35000553,Brazil (BR),Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",49,I do much more than my fair share,Several times a week,"Sometimes me,sometimes spouse",Strongly agree,Strongly disagree,NA,NA,NA,Fairly dissatisfied,1 child,1 child,31,Female,"Marr,liv as mar",11,Unemployed,NA,NA,1500,"Asia,other Asian"
35000555,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Agree,Agree,"Usually me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman",About equal o both together,"Usually me,PL:the woman",5,I do roughly my fair share,"Less often, rarely",NA,Strongly agree,Disagree,Several times a month,Several times a month,Once or twice a year,Fairly satisfied,NA,NA,26,Female,"Marr,liv as mar",15,Employed-full time,60,1000,1500,"Asia,other Asian"
35000558,Brazil (BR),Strongly agree,NA,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,27,Male,"Marr,liv as mar",1,Employed-full time,NA,240,300,"Europe,White/European"
35000559,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man",About equal o both together,"Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,About equal o both together,7,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Several times a week,Several times a month,Never,Very satisfied,3 children,NA,36,Male,"Marr,liv as mar",8,Employed-full time,70,200,360,"Other,mixed origin,one-non-swedish"
35000560,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man",Done by a third person,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Several times a month,Mostly me,Strongly agree,Strongly agree,Several times a week,Several times a month,Several times a month,Very satisfied,NA,NA,61,Male,"Marr,liv as mar",3,Employed-full time,60,400,640,"Other,mixed origin,one-non-swedish"
35000563,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",56,I do much less than my fair share,Never,Mostly me,Strongly agree,Strongly disagree,Several times a month,Never,Several times a month,Fairly satisfied,NA,NA,45,Female,"Marr,liv as mar",4,Employed-part time,32,160,400,"Other,mixed origin,one-non-swedish"
35000570,Brazil (BR),Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",35,I do much more than my fair share,Several times a year,We decide together,Strongly agree,Strongly disagree,NA,NA,NA,Very satisfied,2 children,NA,36,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,NA,480,"Europe,White/European"
35000575,Brazil (BR),Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",28,I do a bit less than my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a month,Several times a week,Several times a week,Fairly satisfied,1 child,NA,59,Male,"Marr,liv as mar",1,Unemployed,NA,NA,140,"Other,mixed origin,one-non-swedish"
35000576,Brazil (BR),Disagree,Disagree,Agree,Strongly disagree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man",4,I do a bit more than my fair share,Several times a week,Mostly me,Strongly agree,Disagree,Several times a month,Never,Several times a month,Very satisfied,3 children,NA,37,Male,"Marr,liv as mar",4,Employed-full time,96,300,500,"Other,mixed origin,one-non-swedish"
35000577,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",42,I do much more than my fair share,Several times a month,Mostly me,Strongly agree,Strongly disagree,NA,NA,NA,Fairly dissatisfied,NA,NA,43,Female,"Marr,liv as mar",7,"Housewife,home duties",NA,NA,600,"Europe,White/European"
35000578,Brazil (BR),Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,About equal o both together,15,I do a bit less than my fair share,Several times a month,We decide together,Strongly agree,Strongly agree,Several times a month,Never,Never,Very satisfied,NA,1 child,27,Male,"Marr,liv as mar",97,"Oth,not i labour force",NA,NA,0,"Black/African/Carribean,No-Spanish"
35000582,Brazil (BR),Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman",NA,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a week,Never,Never,Fairly satisfied,1 child,NA,44,Female,"Marr,liv as mar",97,Employed-full time,NA,240,740,"American Indian,Navajo,Ind.Dialect"
35000584,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,I do much less than my fair share,Never,We decide together,Strongly agree,Agree,Several times a week,Several times a week,Several times a week,Fairly satisfied,1 child,NA,35,Male,"Marr,liv as mar",8,Employed-full time,50,360,360,"American Indian,Navajo,Ind.Dialect"
35000586,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always my spouse,partner,PL:the man",90,I do much less than my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,64,Male,"Marr,liv as mar",4,Retired,NA,240,590,"Europe,White/European"
35000587,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",NA,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",49,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly agree,NA,NA,NA,Fairly satisfied,2 children,NA,43,Female,"Marr,liv as mar",6,"Housewife,home duties",NA,NA,50000,"Europe,White/European"
35000588,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,"Always me,PL:the woman",Done by a third person,About equal o both together,About equal o both together,Done by a third person,"Always me,PL:the woman",21,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,67,Female,"Marr,liv as mar",3,Retired,NA,24000,48000,"Asia,other Asian"
35000593,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",NA,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",1,I do much less than my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,72,Male,"Marr,liv as mar",1,Retired,NA,60000,60000,"Europe,White/European"
35000594,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,About equal o both together,About equal o both together,About equal o both together,About equal o both together,About equal o both together,About equal o both together,15,I do much more than my fair share,Never,We decide together,Strongly agree,Strongly disagree,Several times a month,Several times a month,Several times a month,Very satisfied,NA,NA,66,Male,"Marr,liv as mar",4,Retired,NA,1000,1200,"Europe,White/European"
35000595,Brazil (BR),Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,About equal o both together,About equal o both together,About equal o both together,About equal o both together,"Always me,PL:the woman",About equal o both together,84,I do much more than my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,64,Female,"Marr,liv as mar",97,Retired,NA,240,500,"Europe,White/European"
